agent_id,comparison_id,choice,v1_A,v2_A,v3_A,v1_B,v2_B,v3_B,pref_v1,pref_v2,pref_v3
10213,10213_0,2,-1.0,-0.11290322,-0.49167535,-0.8548387,-0.12903225,-0.48387095,0.0,1.0,0.0
10213,10213_0,2,-0.71666664,-0.11666667,-0.25833333,-0.53333336,-0.13333334,-1.0,0.0,1.0,0.5
10213,10213_0,2,-0.8604651,-0.20930232,-0.3650622,-1.0,-0.1627907,-0.6976744,1.0,0.0,0.5
10213,10213_0,2,-0.9166667,-0.15,-1.0333333,-0.78333336,-0.16666667,-1.0166667,0.0,1.0,0.0
10213,10213_0,1,-0.6,-0.16666667,-0.5,-0.76666665,-0.15,-1.0,1.0,0.0,1.0
10213,10213_0,1,-0.65,-0.13333334,-1.0166667,-0.76666665,-0.11666667,-0.25416666,1.0,0.0,0.0
10213,10213_0,1,-0.53333336,-0.13333334,-1.0,-0.76666665,-0.11666667,-0.25,1.0,0.0,0.0
10213,10213_0,2,-0.76666665,-0.13333334,-0.5083333,-0.53333336,-0.15,-1.0,0.0,1.0,0.5
10213,10213_0,1,-0.7096774,-0.12903225,-0.4994797,-1.0,-0.11290322,-0.9677419,1.0,0.0,0.5
11429,11429_0,2,-1.0,-0.11764706,-0.9083045,-0.85294116,-0.14705883,-0.88235295,0.0,1.0,0.0
11429,11429_0,2,-0.3,-0.083333336,-1.0,-0.38333333,-0.06666667,-0.25833333,1.0,0.0,0.5
11429,11429_0,2,-0.6666667,-0.16666667,-0.53333336,-0.76666665,-0.13333334,-1.0,1.0,0.0,0.5
11429,11429_0,2,-0.5,-0.083333336,-1.0333333,-0.41666666,-0.1,-1.0166667,0.0,1.0,0.0
11429,11429_0,2,-0.41666666,-0.083333336,-1.0,-0.33333334,-0.1,-0.5,0.0,1.0,0.0
11429,11429_0,1,-0.41666666,-0.06666667,-0.25416666,-0.35,-0.083333336,-1.0166667,0.0,1.0,1.0
11429,11429_0,1,-0.41666666,-0.06666667,-0.25,-0.28333333,-0.083333336,-1.0,0.0,1.0,1.0
11429,11429_0,2,-0.41666666,-0.06666667,-0.5083333,-0.28333333,-0.083333336,-1.0,0.0,1.0,0.5
11429,11429_0,1,-0.4,-0.083333336,-0.51666665,-0.56666666,-0.06666667,-1.0,1.0,0.0,0.5
11934,11934_0,1,-1.0,-0.33333334,-0.3944773,-0.74358976,-0.3846154,-0.40433925,0.0,1.0,1.0
11934,11934_0,1,-0.51666665,-0.16666667,-1.0,-0.35,-0.21666667,-1.0333333,0.0,1.0,1.0
11934,11934_0,1,-0.38333333,-0.23333333,-0.25,-0.53333336,-0.2,-1.0,1.0,0.0,1.0
11934,11934_0,1,-1.0,-0.22727273,-0.348657,-0.79545456,-0.25,-0.35640496,0.0,1.0,1.0
11934,11934_0,2,-0.48333332,-0.21666667,-1.0333333,-0.65,-0.16666667,-0.5,1.0,0.0,0.0
11934,11934_0,2,-1.0,-0.3125,-0.48339844,-0.75,-0.40625,-0.9667969,0.0,1.0,1.0
11934,11934_0,1,-0.8055556,-0.3611111,-0.42824075,-1.0,-0.30555555,-0.8333333,1.0,0.0,0.5
11934,11934_0,1,-0.7948718,-0.33333334,-0.7692308,-1.0,-0.25641027,-0.8086785,1.0,0.0,1.0
11934,11934_0,2,-0.6,-0.16666667,-1.0166667,-0.45,-0.2,-0.25416666,0.0,1.0,0.0
12049,12049_0,1,-0.84313726,-0.6862745,-0.5882353,-1.0,-0.627451,-0.5997693,1.0,0.0,1.0
12049,12049_0,1,-0.43333334,-0.6,-1.0,-0.5833333,-0.53333336,-0.25833333,1.0,0.0,0.5
12049,12049_0,2,-0.92105263,-0.84210527,-0.7894737,-0.7894737,-1.0,-0.41551247,0.0,1.0,0.5
12049,12049_0,2,-0.75,-0.6333333,-1.0333333,-0.6333333,-0.7,-1.0166667,0.0,1.0,0.0
12049,12049_0,2,-0.6166667,-0.6666667,-1.0,-0.5,-0.76666665,-0.5,0.0,1.0,0.0
12049,12049_0,2,-0.51666665,-0.5833333,-1.0166667,-0.6166667,-0.5,-0.25416666,1.0,0.0,0.0
12049,12049_0,1,-0.6166667,-0.5,-0.25,-0.43333334,-0.6,-1.0,0.0,1.0,1.0
12049,12049_0,1,-0.43333334,-0.65,-1.0,-0.6166667,-0.5833333,-0.5083333,1.0,0.0,0.5
12049,12049_0,2,-0.85,-0.53333336,-1.0,-0.5833333,-0.6,-0.51666665,0.0,1.0,0.5
12063,12063_0,2,-0.31666666,-0.05,-1.0333333,-0.23333333,-0.06666667,-0.25416666,0.0,1.0,0.0
12063,12063_0,1,-0.3,-0.05,-1.0166667,-0.23333333,-0.06666667,-1.0166667,0.0,1.0,0.5
12063,12063_0,2,-0.23333333,-0.06666667,-0.51666665,-0.3,-0.05,-1.0,1.0,0.0,0.5
12063,12063_0,1,-0.6333333,-0.1,-1.0,-0.46666667,-0.13333334,-0.51666665,0.0,1.0,0.5
12063,12063_0,2,-0.43333334,-0.13333334,-0.51666665,-0.6333333,-0.1,-1.0666667,1.0,0.0,1.0
12063,12063_0,2,-0.5,-0.16666667,-1.0666667,-0.7,-0.1,-0.53333336,1.0,0.0,0.0
12063,12063_0,1,-0.35,-0.05,-0.25833333,-0.26666668,-0.06666667,-1.0,0.0,1.0,0.5
12063,12063_0,1,-0.8666667,-0.1,-1.0,-0.6666667,-0.13333334,-0.51666665,0.0,1.0,0.5
12063,12063_0,1,-0.6,-0.1,-0.51666665,-0.43333334,-0.13333334,-1.0333333,0.0,1.0,1.0
12083,12083_0,2,-0.95,-0.33333334,-1.0333333,-0.71666664,-0.36666667,-0.25416666,0.0,1.0,0.0
12083,12083_0,1,-0.9,-0.35,-1.0166667,-0.71666664,-0.46666667,-1.0166667,0.0,1.0,0.5
12083,12083_0,1,-0.9,-0.33333334,-1.0,-0.68333334,-0.36666667,-0.51666665,0.0,1.0,0.5
12083,12083_0,1,-1.0,-0.36842105,-0.5263158,-0.75438595,-0.49122807,-0.2677747,0.0,1.0,0.5
12083,12083_0,2,-1.0,-0.36842105,-0.544783,-0.7017544,-0.40350878,-0.2677747,0.0,1.0,0.0
12083,12083_0,2,-0.6984127,-0.53968257,-0.49130765,-1.0,-0.3968254,-0.24565382,1.0,0.0,0.0
12083,12083_0,2,-1.0,-0.33333334,-0.24565382,-0.74603176,-0.3809524,-0.95238096,0.0,1.0,0.5
12083,12083_0,2,-1.0,-0.32051283,-0.3846154,-0.75641024,-0.37179488,-0.19477318,0.0,1.0,0.5
