agent_id,comparison_id,decision_before,decision_after,changed,utility_A,utility_B,utility_A_norm,utility_B_norm,penalty_A,penalty_B,v1_A,v2_A,v3_A,v1_B,v2_B,v3_B
10213,10213_0,0,0,0,-1.0,-0.8548387,-1.0,-0.8548387,0.0,0.0,-1.0,-0.11290322,-0.49167535,-0.8548387,-0.12903225,-0.48387095
10213,10213_0,0,0,0,-0.71666664,-0.53333336,-0.71666664,-0.53333336,0.0,0.0,-0.71666664,-0.11666667,-0.25833333,-0.53333336,-0.13333334,-1.0
10213,10213_0,1,0,1,-0.8604651,-1.0,-1.3604650999999999,-1.0,0.5,0.0,-0.8604651,-0.20930232,-0.3650622,-1.0,-0.1627907,-0.6976744
10213,10213_0,0,0,0,-0.9166667,-0.78333336,-0.9166667,-0.78333336,0.0,0.0,-0.9166667,-0.15,-1.0333333,-0.78333336,-0.16666667,-1.0166667
10213,10213_0,1,1,0,-0.6,-0.76666665,-0.6,-0.76666665,0.0,0.0,-0.6,-0.16666667,-0.5,-0.76666665,-0.15,-1.0
10213,10213_0,1,1,0,-0.65,-0.76666665,-0.65,-0.76666665,0.0,0.0,-0.65,-0.13333334,-1.0166667,-0.76666665,-0.11666667,-0.25416666
10213,10213_0,1,1,0,-0.53333336,-0.76666665,-0.53333336,-0.76666665,0.0,0.0,-0.53333336,-0.13333334,-1.0,-0.76666665,-0.11666667,-0.25
10213,10213_0,0,0,0,-0.76666665,-0.53333336,-0.76666665,-0.53333336,0.0,0.0,-0.76666665,-0.13333334,-0.5083333,-0.53333336,-0.15,-1.0
10213,10213_0,1,1,0,-0.7096774,-1.0,-0.7096774,-1.0,0.0,0.0,-0.7096774,-0.12903225,-0.4994797,-1.0,-0.11290322,-0.9677419
11429,11429_0,0,0,0,-0.9224683167374657,-0.8778098349782071,-0.9224683167374657,-0.8778098349782071,0.0,0.0,-1.0,-0.11764706,-0.9083045,-0.85294116,-0.14705883,-0.88235295
11429,11429_0,0,0,0,-0.8918739554697245,-0.27764155223754927,-0.8918739554697245,-0.27764155223754927,0.0,0.0,-0.3,-0.083333336,-1.0,-0.38333333,-0.06666667,-0.25833333
11429,11429_0,1,1,0,-0.5539287980831576,-0.9639579825821453,-0.5539287980831576,-0.9639579825821453,0.0,0.0,-0.6666667,-0.16666667,-0.53333336,-0.76666665,-0.13333334,-1.0
11429,11429_0,0,0,0,-0.9509515569353161,-0.9239872270811327,-0.9509515569353161,-0.9239872270811327,0.0,0.0,-0.5,-0.083333336,-1.0333333,-0.41666666,-0.1,-1.0166667
11429,11429_0,0,0,0,-0.9098949618616652,-0.4742557047130396,-0.9098949618616652,-0.4742557047130396,0.0,0.0,-0.41666666,-0.083333336,-1.0,-0.33333334,-0.1,-0.5
11429,11429_0,1,1,0,-0.279267348908814,-0.9136895095842117,-0.279267348908814,-0.9136895095842117,0.0,0.0,-0.41666666,-0.06666667,-0.25416666,-0.35,-0.083333336,-1.0166667
11429,11429_0,1,1,0,-0.27574429528696043,-0.8892995253231654,-0.27574429528696043,-0.8892995253231654,0.0,0.0,-0.41666666,-0.06666667,-0.25,-0.28333333,-0.083333336,-1.0
11429,11429_0,1,1,0,-0.49417394114488467,-0.8892995253231654,-0.49417394114488467,-0.8892995253231654,0.0,0.0,-0.41666666,-0.06666667,-0.5083333,-0.28333333,-0.083333336,-1.0
11429,11429_0,1,1,0,-0.4986456451527171,-0.9330648285467242,-0.4986456451527171,-0.9330648285467242,0.0,0.0,-0.4,-0.083333336,-0.51666665,-0.56666666,-0.06666667,-1.0
11934,11934_0,0,0,0,-0.4384051429608496,-0.4289502895657638,-0.9384051429608495,-0.9289502895657638,0.5,0.5,-1.0,-0.33333334,-0.3944773,-0.74358976,-0.3846154,-0.40433925
11934,11934_0,1,1,0,-0.9649364235287274,-0.9837606615302626,-0.9649364235287274,-1.4837606615302628,0.0,0.5,-0.51666665,-0.16666667,-1.0,-0.35,-0.21666667,-1.0333333
11934,11934_0,1,1,0,-0.25967271017533633,-0.9661455154745026,-0.7596727101753363,-0.9661455154745026,0.5,0.0,-0.38333333,-0.23333333,-0.25,-0.53333336,-0.2,-1.0
11934,11934_0,0,0,0,-0.39590889165930304,-0.3882559572967551,-0.895908891659303,-0.8882559572967551,0.5,0.5,-1.0,-0.22727273,-0.348657,-0.79545456,-0.25,-0.35640496
11934,11934_0,0,0,0,-0.9934333709801457,-0.5108817992192983,-1.4934333709801457,-0.5108817992192983,0.5,0.0,-0.48333332,-0.21666667,-1.0333333,-0.65,-0.16666667,-0.5
11934,11934_0,1,1,0,-0.5208754696819755,-0.9510692977522245,-1.0208754696819755,-1.4510692977522246,0.5,0.5,-1.0,-0.3125,-0.48339844,-0.75,-0.40625,-0.9667969
11934,11934_0,1,1,0,-0.45561317960106457,-0.8454241904396202,-0.9556131796010645,-1.3454241904396202,0.5,0.5,-0.8055556,-0.3611111,-0.42824075,-1.0,-0.30555555,-0.8333333
11934,11934_0,1,1,0,-0.7710909347585468,-0.8225579809955665,-1.2710909347585468,-1.3225579809955665,0.5,0.5,-0.7948718,-0.33333334,-0.7692308,-1.0,-0.25641027,-0.8086785
11934,11934_0,0,0,0,-0.9864394775282157,-0.2683734539088306,-0.9864394775282157,-0.2683734539088306,0.0,0.0,-0.6,-0.16666667,-1.0166667,-0.45,-0.2,-0.25416666
12049,12049_0,1,1,0,-0.7005995498732678,-0.7761964345020369,-1.2005995498732678,-1.276196434502037,0.5,0.5,-0.84313726,-0.6862745,-0.5882353,-1.0,-0.627451,-0.5997693
12049,12049_0,0,0,0,-0.7502056312980488,-0.40159773580482205,-1.2502056312980487,-0.901597735804822,0.5,0.5,-0.43333334,-0.6,-1.0,-0.5833333,-0.53333336,-0.25833333
12049,12049_0,0,0,0,-0.8474754814244239,-0.5803596649397115,-1.3474754814244239,-1.0803596649397114,0.5,0.5,-0.92105263,-0.84210527,-0.7894737,-0.7894737,-1.0,-0.41551247
12049,12049_0,0,0,0,-0.9084361288734324,-0.8476881250907711,-1.4084361288734324,-1.347688125090771,0.5,0.5,-0.75,-0.6333333,-1.0333333,-0.6333333,-0.7,-1.0166667
12049,12049_0,0,0,0,-0.8310214691721308,-0.5,-1.3310214691721307,-1.0,0.5,0.5,-0.6166667,-0.6666667,-1.0,-0.5,-0.76666665,-0.5
12049,12049_0,0,0,0,-0.7962598794528126,-0.41396160654976183,-1.2962598794528126,-0.9139616065497618,0.5,0.5,-0.51666665,-0.5833333,-1.0166667,-0.6166667,-0.5,-0.25416666
12049,12049_0,1,1,0,-0.4116316669318921,-0.7502056312980488,-0.9116316669318921,-1.2502056312980487,0.5,0.5,-0.6166667,-0.5,-0.25,-0.43333334,-0.6,-1.0
12049,12049_0,0,0,0,-0.7502056312980488,-0.5560881357306497,-1.2502056312980487,-1.0560881357306497,0.5,0.5,-0.43333334,-0.65,-1.0,-0.6166667,-0.5833333,-0.5083333
12049,12049_0,0,0,0,-0.9338779604480478,-0.5460542157873078,-1.4338779604480478,-1.0460542157873078,0.5,0.5,-0.85,-0.53333336,-1.0,-0.5833333,-0.6,-0.51666665
12063,12063_0,0,0,0,-0.65814195996595,-0.1826259397737339,-0.65814195996595,-0.1826259397737339,0.0,0.0,-0.31666666,-0.05,-1.0333333,-0.23333333,-0.06666667,-0.25416666
12063,12063_0,1,1,0,-0.6478345099996279,-0.6541936867418426,-0.6478345099996279,-0.6541936867418426,0.0,0.0,-0.3,-0.05,-1.0166667,-0.23333333,-0.06666667,-1.0166667
12063,12063_0,1,1,0,-0.3449689199307593,-0.6375269981883585,-0.3449689199307593,-0.6375269981883585,0.0,0.0,-0.23333333,-0.06666667,-0.51666665,-0.3,-0.05,-1.0
12063,12063_0,0,0,0,-0.6566045245994975,-0.37040562308411307,-0.6566045245994975,-0.37040562308411307,0.0,0.0,-0.6333333,-0.1,-1.0,-0.46666667,-0.13333334,-0.51666665
12063,12063_0,1,1,0,-0.37040562308411307,-0.6978345099996279,-0.37040562308411307,-0.6978345099996279,0.0,0.0,-0.43333334,-0.13333334,-0.51666665,-0.6333333,-0.1,-1.0666667
12063,12063_0,0,0,0,-0.7232712131529817,-0.3679947875954476,-0.7232712131529817,-0.3679947875954476,0.0,0.0,-0.5,-0.16666667,-1.0666667,-0.7,-0.1,-0.53333336
12063,12063_0,1,1,0,-0.17884363789208915,-0.6438861749305732,-0.17884363789208915,-0.6438861749305732,0.0,0.0,-0.35,-0.05,-0.25833333,-0.26666668,-0.06666667,-1.0
12063,12063_0,0,0,0,-0.6566045245994975,-0.37040562308411307,-0.6566045245994975,-0.37040562308411307,0.0,0.0,-0.8666667,-0.1,-1.0,-0.6666667,-0.13333334,-0.51666665
